id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65562,-122.33665,Entire home/apt,99,30,161,2024-09-07,0.87,2,118,1,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,72,2,204,2024-09-04,1.18,10,363,11,Exempt
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,182,3,104,2024-09-09,0.67,2,144,26,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,2,77,2023-12-27,0.50,2,0,1,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,,30,96,2020-09-28,0.59,2,0,0,STR -OPLI-19-002622
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,89,2,1075,2024-09-09,6.12,1,139,55,STR-OPLI-19-002617
26795,Lake Union Cottage - Shore and City View,114228,Kelly,Cascade,Eastlake,47.6378,-122.32895,Entire home/apt,171,30,64,2020-03-07,0.37,1,294,0,
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,,3,6,2023-08-26,0.06,2,176,0,STR-OPLI-19-002333
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,109,3,565,2024-09-19,3.50,2,345,26,STR-OPLI-19-000772
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,275,30,34,2024-02-06,0.27,1,114,3,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,,30,76,2023-08-12,0.61,4,1,0,STR-OPLI-19-002472
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,63,1,377,2024-04-28,2.41,1,263,19,STR-OPLI-19-000684
226677,Sunny Parisian room cozy memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54971,-122.31753,Private room,69,2,296,2024-09-02,1.89,10,356,33,Exempt
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,225,2,153,2024-08-23,1.17,3,335,15,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,129,2,375,2024-08-26,2.39,3,114,19,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,110,30,161,2019-10-31,1.03,1,139,0,
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,125,1,127,2024-05-19,0.83,1,349,8,STR-OPLI-24-000057
284087,Cozy Nest in Heart of City near Convention Cntr,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,325,3,326,2024-09-02,2.13,1,328,19,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,150,90,12,2021-02-12,0.08,1,263,0,
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.6183,-122.32302,Entire home/apt,300,30,117,2019-10-22,0.77,1,263,0,STR-OPLI-21-000724
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65431,-122.33358,Entire home/apt,,7,218,2024-08-06,1.43,1,0,18,STR-OPLI-24-000114
340738,Victorian home on Capitol Hill,1729224,Marlow,Capitol Hill,Stevens,47.62376,-122.30494,Entire home/apt,495,100,0,,,5,256,0,
353110,Newly Remodeled Private Cottage in West Seattle!,1788284,Eric,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,89,30,94,2024-07-31,0.62,1,231,7,
356248,Amazing Waterview Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,299,80,31,2024-07-20,0.32,2,120,2,
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Saint,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,190,30,222,2024-08-25,1.48,2,120,9,STR-OPLI-19-001273
365550,art loft downtown~ID~Stadiums,1025723,Jacqueline,Downtown,International District,47.60002,-122.32742,Private room,123,3,873,2024-09-01,5.74,2,50,39,STR-OPLI-19-000427
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,525,4,48,2024-09-03,0.36,1,160,2,STR-OPLI-19-001130
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Entire home/apt,113,3,356,2024-08-29,2.34,2,76,38,STR-OPLI-19-001288
387078,Modern Capitol Hill. Location. Great Monthly Rates,1121532,Melissa,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,128,30,182,2023-07-06,1.27,9,349,0,STR-OPLI-19-001903
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58437,-122.31668,Private room,80,3,358,2024-09-08,2.38,2,338,24,STR-OPLI-19-001128
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,155,30,204,2023-11-06,1.36,1,179,2,STR-OPLI-21-000037
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.70021,-122.35106,Entire home/apt,104,3,490,2024-09-14,3.30,1,74,31,STR-OPLI-21-000424
430610,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,,14,137,2024-04-28,0.93,2,1,2,STR-OPLI-19-001606
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,4,389,2024-09-02,2.60,1,336,23,STR-OPLI-19-003175
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71652,-122.29126,Private room,77,30,116,2022-10-28,0.78,1,179,0,
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65617,-122.35262,Entire home/apt,98,5,451,2024-08-26,3.59,3,73,19,STR-OPLI-19-001657
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,30,419,2022-11-22,2.82,1,353,0,STR-OPLI-19-001047
493591,the 5-star  house-# 5-> Marilyn Monroe's room,2438665,Flor,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,49,30,182,2024-05-11,1.22,4,342,1,STR-OPLI-19-002472
552325,Lovely 2BR Apt on Portage Bay near UW + Eastlake,306615,Tara,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,,90,37,2024-09-14,0.27,2,88,4,
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,67,2,283,2024-09-16,1.92,1,2,33,STR-OPLI-19-001749
565703,Garden Apartment in Madison Valley,2781551,Ron,Central Area,Mann,47.620624,-122.29714,Entire home/apt,138,3,352,2024-09-01,2.52,4,275,3,STR-OPLI-19-001833
566435,"""The 5-Star House"" - # 6->The Hawaiian room",2438665,Flor,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,49,30,92,2024-08-01,0.63,4,0,2,STR-OPLI-19-002472
573942,Queen Bee room w/cooling memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54916,-122.31819,Private room,67,2,281,2024-09-15,1.91,10,336,27,Exempt
598023,West Seattle Home at Alaska Junction!,2613029,Jeffrey,West Seattle,Genesee,47.56162,-122.38812,Private room,109,30,22,2022-06-16,0.16,1,364,0,STR-OPLI-19-000822
609610,A place to stay: studio apartment,3022709,Laura,Rainier Valley,Columbia City,47.56994,-122.29403,Entire home/apt,105,30,36,2023-08-27,0.24,1,324,0,STR-OPLI-22-000371
631445,Belltown View Condo,3139639,Alicia,Downtown,Belltown,47.61373,-122.34887,Entire home/apt,178,5,209,2024-08-26,1.42,1,62,35,STR-OPLI-19-003446
635878,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",3074414,Melissa,University District,University District,47.66313,-122.31428,Entire home/apt,125,30,40,2022-09-21,0.29,129,133,0,STR-OPLI-19-002641
637710,Roots at the Center of the Universe,3181546,Farhad,Other neighborhoods,Fremont,47.653,-122.35595,Entire home/apt,,2,161,2024-09-03,1.13,1,246,11,STR-OPLI-19-003215
654734,Downtown/Convention Center Condo,3294357,Grace,Downtown,First Hill,47.61311,-122.32947,Entire home/apt,175,30,88,2024-08-31,0.61,1,187,4,
661708,Elegant Madison Park Townhome,3340441,Roberta,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,195,30,26,2024-08-18,0.34,1,365,2,STR-OPLI-22-001999
670262,One Bedroom Cozy House + Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.69132,-122.36279,Entire home/apt,135,3,9,2024-01-28,0.06,3,10,5,STR-OPLI-23-001176
671828,Private En Suite Room & Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.6911,-122.36467,Private room,94,2,18,2024-09-08,0.18,3,36,17,STR-OPLI-23-001176
677266,Victorian double room,30559,Angielena,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,80,2,144,2024-09-02,0.98,10,359,12,Exempt
677365,Spacious West Seattle Mid Century Modern In-law,926885,Jamie & Kyle,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,106,1,315,2024-09-19,3.92,2,113,47,STR-OPLI-19-002932
689309,Elegance and Coziness in Broadview,3520873,Philippe,Other neighborhoods,Broadview,47.72131,-122.35846,Private room,146,30,17,2021-10-01,0.12,1,365,0,STR-OPLI-19-003395
703058,True Wallingford Craftsman,1611114,Craig,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,280,4,219,2024-09-08,1.50,1,121,6,STR-OPLI-19-001188
704764,Elegant Vintage Craftsman Apartment With Garden,3620313,Catherine,Queen Anne,North Queen Anne,47.64057,-122.36956,Entire home/apt,181,1,364,2024-09-02,2.54,1,118,18,STR-OPLI-19-001424
708774,Clean and Comfortable Eastlake/Lake Union 1 BR,316200,William,Cascade,Eastlake,47.64,-122.32412,Entire home/apt,86,30,144,2024-08-24,1.00,7,108,5,
723723,BAMBOO BUNGALOW,3740695,BleuPapillon,Central Area,Harrison/Denny-Blaine,47.61896,-122.28818,Entire home/apt,524,30,50,2017-08-13,0.34,2,82,0,
723846,"The Cozy Cottage in Maple Leaf (UW, Green Lake)",3737272,Cheryl & Steve,Northgate,Maple Leaf,47.69839,-122.31505,Entire home/apt,134,2,199,2024-09-02,1.40,1,353,18,STR-OPLI-19-002418
748526,Mother in law studio-Ballard/phinne,3932149,Amy,Other neighborhoods,Phinney Ridge,47.67846,-122.36325,Entire home/apt,61,30,85,2021-05-31,0.59,1,326,0,
757840,"Hilltop House: Great Location, New Furnishings",3991908,Becky,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,400,4,510,2024-08-28,3.53,1,283,27,STR-OPLI-19-000945
793629,Cheery Seattle House with View,4181120,Candace,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,121,6,334,2024-09-09,2.34,1,72,15,STR-OPLI-19-003115
797358,Cozy Private Room and Bath in Old Craftsman House,4199445,Liam,Rainier Valley,Mount Baker,47.57265,-122.29136,Private room,,2,181,2023-08-17,1.50,2,0,0,STR-OPLI-19-001423
841274,Goat Hill House Apartment,4133943,Jill,Rainier Valley,Mount Baker,47.58548,-122.29458,Entire home/apt,109,3,220,2024-09-02,1.57,1,347,24,STR-OPLI-19-002082
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,188,30,284,2024-09-17,2.01,2,313,61,STR-OPLI-19-000420
846763,Right at Home in Ravenna,4421734,Tara,Other neighborhoods,Ravenna,47.67995,-122.30859,Private room,60,30,81,2024-09-14,0.57,1,336,2,
850481,Two Bedroom Cozy Home + Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.68957,-122.36296,Entire home/apt,185,3,11,2024-09-02,0.10,3,29,8,STR-OPLI-23-001176
877203,In Jimi Hendrix's neighborhood 2,287172,Laura,Central Area,Atlantic,47.60029,-122.30185,Private room,53,30,108,2024-09-15,0.77,2,336,3,STR-OPLI-19-002301
879181,In Jimi Hendrix's neighborhood 3,287172,Laura,Central Area,Atlantic,47.60096,-122.3019,Private room,53,30,106,2024-05-28,0.75,2,289,5,STR-OPLI-19-002301
902609,Studio in West Seattle,3264544,Fabio,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,101,2,287,2024-09-12,2.05,6,235,24,STR-OPLI-19-002360
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,110,3,577,2024-09-19,4.09,1,309,57,STR-OPLI-24-001596
942490,Charming Greenwood neighborhood flat,4705328,Lisa,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,134,30,137,2023-09-21,0.98,1,89,0,STR-OPLI-20-000322
948077,The Cottage a Capitol Hill Oasis by Bowerbird Home,365687,Erik,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,195,2,587,2024-09-05,4.20,1,299,66,STR-OPLI-21-000042
993804,Spacious bedroom across Children's,3169976,Valerie,Other neighborhoods,Laurelhurst,47.66308,-122.2838,Private room,45,30,7,2024-04-20,0.05,1,77,1,
1000883,Westside Hideaway,5486919,Nicole,West Seattle,North Admiral,47.58246,-122.39668,Entire home/apt,190,2,246,2024-08-14,1.80,1,88,10,STR-OPLI-19-003112
1012003,Capitol Hill Gem in Great Location,5567436,Larry & Suzi,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,30,36,2019-10-20,0.26,1,365,0,STR-OPLI-19-000062
1023693,Cozy and Stylish Ballard Apartment,5635244,Shannon,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,133,3,390,2024-08-19,2.88,2,250,23,STR-OPLI-19-001088
1042022,Perfect Location by Lake Washington,5736221,Lene & Johnny,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,110,2,413,2024-09-06,2.98,1,297,37,STR-OPLI-19-002937
1048798,"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,Carter,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,185,2,509,2024-09-09,3.66,1,134,50,STR-OPLI-19-000502
1097520,Relaxed sophistication in Mt. Baker,6031552,Jeanie,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,121,30,322,2024-08-12,2.33,1,355,2,STR-OPLI-19-003217
1100686,High ceiling/ amazing location in artsy Fremont -,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65417,-122.35402,Private room,74,5,376,2024-09-02,2.99,3,80,11,STR-OPLI-19-001657
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Anne And Peter,Queen Anne,West Queen Anne,47.63555,-122.365,Entire home/apt,145,7,59,2023-08-10,0.43,1,232,0,STR-OPLI-19-002257
1114695,"100s Walkscore Garage Deck, Zoo, Green Lake, Fire Place.",165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.66215,-122.33879,Entire home/apt,,4,79,2023-09-22,0.58,2,0,1,STR-OPLI-19-001606
1122236,Modern Luxury on Capitol Hill,1121532,Melissa,Capitol Hill,Broadway,47.62383,-122.32381,Entire home/apt,128,30,145,2024-06-01,1.05,9,291,2,STR-OPLI-19-002120
1125133,Elegant & Quiet walk to UW (49),3074414,Melissa,University District,University District,47.65834,-122.31772,Entire home/apt,115,30,37,2022-09-24,0.27,129,365,0,STR-OPLI-20-000157
1136522,Spacious/Clean/walk U Village 05.5,3074414,Melissa,Other neighborhoods,Ravenna,47.66913,-122.29989,Entire home/apt,128,30,20,2024-08-22,0.15,129,135,2,
1142010,Small artsy house in vibrant Columbia City,928640,Carla,Rainier Valley,Columbia City,47.5533,-122.27682,Entire home/apt,70,30,1,2022-10-09,0.04,1,173,0,STR-OPLI-20-000128
1146966,Artsy home in terrific Fremont neighborhood,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65474,-122.3526,Private room,76,5,336,2024-09-02,2.44,3,89,10,STR-OPLI-19-001657
1150519,Classic Craftsman - 95 Walk Score!,6305984,Sarah,University District,University District,47.67113,-122.31419,Entire home/apt,300,30,19,2022-07-27,0.14,1,294,0,
1157083,Bright and fun unit downtown-Convention Ctr!,30832,Siena C.C.,Downtown,First Hill,47.61248,-122.32861,Entire home/apt,232,3,119,2024-09-15,0.87,7,63,24,STR-OPLI-19-002769
1159111,St. John's Apt. 203 *Walkscore 99*,1787819,Saint,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,173,30,171,2023-11-24,1.24,2,177,5,STR-OPLI-19-001273
1171574,Private Entrance and Central,4485958,Phil And Andrea,Central Area,Madrona,47.60962,-122.2952,Entire home/apt,89,3,673,2024-09-16,4.90,2,47,57,STR-OPLI-19-000461
1175308,Ballard oasis in the pacific Northwest,6432543,Jenny,Ballard,Loyal Heights,47.67861,-122.38891,Entire home/apt,,5,25,2023-08-21,0.18,1,0,0,STR-OPLI-19-003252
1205666,West Seattle - Northwest Modern Hm1,6584748,Sean And Karla,West Seattle,Gatewood,47.53029,-122.38604,Private room,99,1,341,2024-09-15,2.48,2,75,15,STR-OPLI-19-001102
1219691,Sweet 1920's cottage in N. Seattle,6654033,April King,Northgate,Haller Lake,47.73206,-122.33943,Entire home/apt,,30,69,2024-07-28,0.50,1,0,2,STR-OPLI-20-000033
1246769,Light & Modern Downtown Conv Ctr,1025723,Jacqueline,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,187,3,453,2024-09-02,3.31,2,45,47,STR-OPLI-19-000427
1256892,Daisy Mae's Guest Space - Phinney Ridge,6846442,Laurie,Other neighborhoods,Phinney Ridge,47.67837,-122.35805,Entire home/apt,107,2,297,2024-09-02,2.17,1,180,19,STR-OPLI-19-000499
1260259,Zen Garden Oasis,3009864,Jessica,Magnolia,Lawton Park,47.66046,-122.40292,Entire home/apt,185,17,148,2024-01-16,1.08,1,43,2,STR-OPLI-21-000222
1263470,Sweet Seattle Urban Homestead 1 Bdr,4193,Jessica,Rainier Valley,Dunlap,47.53112,-122.27627,Entire home/apt,100,30,8,2024-08-12,0.07,3,350,1,
1265651,Quiet Top floor 2 bdrs 2 baths UW & Trail W/D 401,3074414,Melissa,University District,University District,47.66456,-122.3046,Entire home/apt,180,30,30,2024-06-01,0.24,129,130,1,STR-OPLI-19-002570
1299597,Newly Renovated Modern 2BR Basement Apt in Leschi,7066141,Kimberly,Central Area,Leschi,47.60179,-122.29357,Entire home/apt,131,3,39,2024-09-02,1.39,1,54,13,STR-OPLI-22-000851
1301535,2 Huge Private Rooms + Common Area,468703,Corinne & Tom,Ballard,Loyal Heights,47.68211,-122.38007,Entire home/apt,111,2,361,2024-09-13,2.87,1,133,19,STR-OPLI-19-000874
1305895,Garden view room in Quiet Greenlake house w trees,946910,Nathan,Other neighborhoods,Wallingford,47.66713,-122.33528,Private room,55,30,6,2019-10-01,0.04,1,80,0,
1351716,Sparkling Clean Guest House,6592975,Huong And Bill,Central Area,Atlantic,47.59674,-122.30964,Entire home/apt,98,30,258,2024-08-18,1.89,1,235,2,19-000920
1355094,Capitol Hill Excursion part #4,5112492,Leah,Capitol Hill,Broadway,47.62195,-122.32262,Private room,35,30,178,2024-08-10,1.31,4,47,1,
1356339,"Capitol Hill Modern Apt, Great location!",1121532,Melissa,Capitol Hill,Broadway,47.62235,-122.32594,Entire home/apt,128,30,192,2024-08-24,1.43,9,333,3,STR-OPLI-19-001708
1365882,Serene W/D walk to UW/U Village 203,3074414,Melissa,University District,University District,47.66178,-122.30149,Entire home/apt,145,30,37,2023-12-12,0.27,129,365,1,STR-OPLI-19-002641
1407502,Private garden room in hip Ballard,6136210,Nicole,Ballard,West Woodland,47.67306,-122.36651,Private room,70,30,27,2019-09-05,0.22,1,365,0,STR-OPLI-19-003088
1417880,Center UW 2 beds large Quiet  (210),3074414,Melissa,University District,University District,47.66139,-122.31495,Entire home/apt,120,30,40,2022-09-21,0.29,129,365,0,STR-OPLI-19-002641
